CODE            ,"Item Description"
205323          ,"Balfour Center Blade,10-3/4, 3-1/4 Widex2-3/4 Deep"
205324          ,"Balfour Center Blade, 15-3/4, Horgan, 2 IN Wide"
205325          ,"O'Sullivan-O'Connor Retractor Set"
205330          ,"Balfour Wire Lateral Blades, 2-1/2  Package of 2"
205331          ,"Balfour Wire Lateral Blades, 3-1/2, Package of 2"
205332          ,"Balfour Wire Lateral Blades, 4, Package of 2"
205335          ,"Balfour Wire Lateral Blades, 2, Package of 2"
205336          ,"Balfour Wire Lateral Blades, 3, Package of 2"
205337          ,"Balfour Wire Lateral Blades, 4, Package of 2"
205500          ,"Seton Shallow Surg. Retractor Set,Frame w/6 Blades"
205502          ,"Seton Shallow Surgical Retractor, Frame Only"
205504          ,"Seton Shallow Retractor Blades, 1x2-1/8, Set of 2"
205506          ,"Seton Shallow Retractor Blades, 1x1-1/4, Set of 2"
205508          ,"Seton Shallow Retractor Blades, 1x3/4, Set of 2"
205510          ,"Seton Shallow Balfour-Type Retract Blds,7/8x2-Set2"
205512          ,"Seton Retractor Blade,Balfour,1-1/8x1-1/4, 2/pack"
205514          ,"Seton Shallow Balfour-Type Retract Blds,7/8x1-Set2"
205530          ,"HENLY RETRACTOR SET IMPROVED PATTERN 6-3/4"
205532          ,"LATERAL BLADES FOR 205-530,SMALL, 7/8 X 1,SET OF 2"
205534          ,"LATERAL BLADES FOR 205-530, MED, 7/8 X 2, SET OF 2"
205536          ,"LATERAL BLADES FOR 205-530,LARGE, 7/8 X 3,SET OF 2"
205540          ,"HENLY CENTER BLADE, 3/4 WIDE, 3/4 DEEP"
205542          ,"HENLY CENTER BLADE, 3/4 WIDE, 1 IN DEEP"
205544          ,"HENLY CENTER BLADE, 3/4 WIDE, 1-1/4 DEEP"
205550          ,"HENLY RETRACTOR SET ORIGINAL 6-1/4,W/3 CTR BLADES"
250084          ,"Hibbs-Bruns Curette Rack 9X2-1/2X12-1/2 Holds 12"
278080TI        ,"MICRO JARIT STARDUST NEEDLEHOLDER, 7,W/CATCH,FLAT"
278082TI        ,"MICRO JARIT STARDUST NEEDLEHOLDER, 8-1/4, W/CATCH"
278092          ,"MICROSURGERY JARIT STARDUST NEEDLE HOLDER, 7, STR"
278093          ,"MICRO JARIT STARDUST NEEDLE HOLDER, 7-1/4, W/CATCH"
278093TI        ,"MICRO JARIT STARDUST NEEDLEHOLDER, 7, STR,W/CATCH"
278094          ,"MICROSURGERY JARIT STARDUST NEEDLEHOLDER,8-1/4,STR"
278095          ,"MICRO JARIT STARDUST NEEDLE HOLDER 8-1/4, W/CATCH"
278095TI        ,"MICRO JARIT STARDUST NEEDLE HOLDER, 7-3/4,W/CATCH"
278096          ,"MICROSURGERY JARIT STARDUST NEEDLE HOLDER, 9, STR"
278097          ,"MICRO JARIT STARDUST NEEDLE HOLDER, 9, STR,W/CATCH"
278097TI        ,"MICRO JARIT STARDUST NEEDLE HOLDER,10,STR,W/CATCH"
278100          ,"MICROSURGERY JARIT STARDUST NEEDLE HOLDER, 7, CVD"
278101          ,"MICROSURGERY JARIT STARDUST NEEDLEHOLDER,7,W/CATCH"
278102          ,"MICROSURGERY JARIT STARDUST NEEDLE HOLDER, 8, CVD"
278103          ,"MICROSURGERY JARIT STARDUST NEEDLEHOLDER,8,W/CATCH"
278104          ,"MICROSURGERY JARIT STARDUST NEEDLE HOLDER, 8-3/4"
278105          ,"MICROSURGERY JARIT STARDUST NEEDLEHOLDER,9,W/CATCH"
278108TI        ,"MICRO JARIT STARDUST NEEDLE HOLDER, 5-7/8, W/CATCH"
278110          ,"MICROSURGERY JARIT STARDUST NEEDLE HOLDER, 7, STR"
278111          ,"MICRO JARIT STARDUST NEEDLE HOLDER, 7,STR,W/CATCH"
278111TI        ,"MICRO JARIT STARDUST NEEDLE HOLDER, 7, STR,W/CATCH"
278112          ,"MICROSURGERY JARIT STARDUST NEEDLE HOLDER, 8, STR"
278113          ,"MICRO JARIT STARDUST NEEDLE HOLDER, 8-1/4,W/CATCH"
278113TI        ,"MICRO JARIT STARDUST NEEDLE HOLDER, 7-3/4, W/CATCH"
278114          ,"MICROSURGERY JARIT STARDUST NEEDLE HOLDER, 9, STR"
278115          ,"MICRO JARIT STARDUST NEEDLE HOLDER, 8-3/4,W/CATCH"
278116          ,"MICROSURGERY JARIT STARDUST NEEDLE HOLDER, 7, CVD"
278117          ,"MICROSURGERY JARIT STARDUST NEEDLE HOLDER,7,CATCH"
278118          ,"MICROSURGERY JARIT STARDUST NEEDLE HOLDER, 8, CVD"
278119          ,"MICROSURGERY JARIT STARDUST NEEDLEHOLDER,8,W/CATCH"
278120          ,"MICROSURGERY JARIT STARDUST NEEDLEHOLDER,8-3/4,CVD"
278121          ,"MICRO JARIT STARDUST NEEDLE HOLDER, 8-3/4,W/CATCH"
279100          ,"MICRO JARIT STARDUST SUTURE FORCEPS, 7-1/4, STR"
279100TI        ,"MICRO JARIT STARDUST SUTURE FORCEPS, 7-1/4, STR"
279101          ,"MICRO JARIT STARDUST SUTURE FORCEPS, 8-1/4, STR"
279101TI        ,"MICRO JARIT STARDUST SUTURE FORCEPS, 8-1/2, STR"
279102          ,"MICROSURGERY JARIT STARDUST SUTURE FORCEPS, 9, STR"
279102TI        ,"MICRO JARIT STARDUST SUTURE FORCEPS, 9-1/4, STR"
279105          ,"MICROSURGERY JARIT STARDUST SUTURE FORCEPS, 7-1/4"
279106          ,"MICROSURGERY JARIT STARDUST SUTURE FORCEPS, 8-1/4"
279107          ,"MICROSURGERY JARIT STARDUST SUTURE FORCEPS, 9, CVD"
279110          ,"MICROSURGERY JARIT STARDUST RING FORCEPS,7-1/4,STR"
279110TI        ,"MICROSURGERY JARIT STARDUST RING FORCEPS, 7-1/4"
279111          ,"MICROSURGERY JARIT STARDUST RING FORCEPS,8-1/4,STR"
279111TI        ,"MICROSURGERY JARIT STARDUST RING FORCEPS, 8-1/4"
279112          ,"MICROSURGERY JARIT STARDUST RING FORCEPS, 9, STR"
279112TI        ,"MICROSURGERY JARIT STARDUST RING FCPS, 9, TITANIUM"
325140          ,"GLASSMAN INTESTINAL CLAMP, 9-1/4, CARDIO-GRIP, STR"
325141          ,"GLASSMAN INTESTINAL CLAMP, 9, CARDIO-GRIP, ANGLED"
325142          ,"GLASSMAN ANTERIOR RESECTION CLAMP,9-3/4, 30MM JAWS"
325143          ,"GLASSMAN ANTERIOR RESECTION CLAMP,9-3/4, 52MM JAWS"
325144          ,"GLASSMAN ANTERIOR RESECTION CLAMP,9-3/4, 77MM JAWS"
325150          ,"DOYEN CLAMP, 9-1/2, CARDIO-GRIP, STRAIGHT"
325151          ,"DOYEN CLAMP, 9-1/4, CARDIO-GRIP, CURVED"
449310          ,"SCHNIDT TONSIL FORCEPS 7-1/2, HALF CVD,CLOSED RING"
475131          ,"REPLACEMENT PLASTIC OBTURATOR FOR REF# 475-130"
500141          ,"CUSCO VAGINAL SPECULA SMALL 1-1/4X3"
500171          ,"SIMS VAGINAL RETRACTOR DBL-ENDED, 1X2-1/2, 1-1/8X3"
500181          ,"SIMS VAGINAL RETRACTOR, 1-1/4 WIDE X 3 DEEP"
500191          ,"Heaney Hysterectomy Retractor, 10-1/2, Medium"
600100          ,"GRASPING FORCEPS 13 WITH RATCHET 5MM INSULATED"
600104IL        ,"Grabber Forceps 15 In-Line Hndle w/Ratchet Ins 5mm"
600105          ,"GRASPING FORCEPS 13 DOUBLE ACTION 5MM INSULATED"
600106          ,"GRASPING FORCEPS 18-1/4 DOUBLE ACTION 5MM INSULATE"
600107IL        ,"FUNDUS GRSP FCPS 15 IN-LINE HANDLE W/RAT INS 5MM"
600108IL        ,"DL-CUP GRSP FCPS 14-3/4 IN-LINE HNDL W/RAT INS 5MM"
600109IL        ,"Retraction Grasp Fcp 15 In-Line Hndl w/Rat Ins 5mm"
600110          ,"MICRO DISSECTING FORCEPS 13 DOUBLE ACTION 5MM INS"
600112          ,"NEEDLE NOSE FORCEPS 13 5MM MONOPOLAR INSULATED"
600113          ,"ATRAUMATIC ALLIS GRSP FCPS W/RATCH 13 5MM DIAM INS"
600114          ,"Atraumatic Allis grsp fcps w/ratcht 17-3/4 ins 5mm"
600115          ,"TAPERED DISSECTING FORCEPS 13 5MM MONO INSULATED"
600116          ,"Retrograde grsp fcps 13 Roto-Lok w/ratchet ins 5mm"
600117          ,"MICRO GRASPING FORCEPS 13 INSULATED MONO 5MM DIA"
600118          ,"RETRO GRASP FCPS 18-1/4 ROTO-LOK W/RAT INS 5MM DIA"
600119          ,"RETROGRADE GRASPING FORCEPS 12-1/2 5MM INSULATED"
600120          ,"GRASPING & DISSECTING FORCEPS 12-1/2 5MM INSULATED"
600122          ,"ALLIS GRASPING FCPS 13 WITH RATCHET INSULATED 5MM"
600123          ,"WINER GRASPING FORCEPS 13-1/2 5MM INSULATED SHAFT"
600125          ,"MARYLAND DISSECTOR FORCEPS 12-3/4 10MM INS MONO"
600126          ,"MARYLAND DISSECTOR FORCEPS 13 5MM INS MONOPOLAR"
600127          ,"MIXTER DISSECTING FORCEPS 12 10MM DIAMETER SHAFT"
600128          ,"MIXTER SPREADER-DISSECTOR 12-3/4 ROTATABLE 10MM"
600130          ,"GRASPING & EXTRACTING FORCEPS 12-3/4 10MM SHAFT"
600135          ,"CLAW GRASPING & EXTRACTING FORCEPS 13 10MM SHAFT"
600137          ,"CLAW GRASPING & EXTRACTING FORCEPS 12-3/4 5MM INS"
600138          ,"SPOON FORCEPS 13-1/4 WITH SPRING 10MM SHAFT"
600140          ,"DEBAKEY FORCEPS 15 WITH RATCHET INSULATED 5MM"
600145          ,"BABCOCK FORCEPS 13-3/4 W/RATCHET 10MM DIAMETER"
600147          ,"BABCOCK FORCEPS 13-3/4 W/RATCHET INSULATED 5MM DIA"
600150          ,"DUVAL GRASPING FORCEPS 13 W/RATCHET 10MM DIAMETER"
600154          ,"RUSSIAN GRASP FORCEPS 13 W/RATCHET 10MM DIAMETER"
600158          ,"FOERSTER SPONGE FCP 13-1/4 W/RATCHET 10MM DIAMETER"
600164IL        ,"Hunter Bowel Grasper 15 In-Line Handle Insul 5mm"
600200          ,"SUPERCUT SCISSORS 13 STRAIGHT 5MM SHAFT"
600201          ,"SUPERCUT SCISSORS 17-1/2 STRAIGHT 5MM SHAFT"
600202          ,"SUPERCUT ENDO SCISSORS 13-1/4 MONO INS CURVED 5MM"
600203          ,"SUPERCUT ENDO SCISSORS 17-3/4 MONO INS CURVED 5MM"
600205          ,"HOOK SCISSORS 12-1/2 MONO INS STRAIGHT 5MM SHAFT"
600206          ,"SUPERCUT ENDO SCISSORS 17-3/4 MONO INS STR 5MM"
600207          ,"HOOK SCISSORS 12-3/4 MONOPOLAR NON-INS 5MM SHAFT"
600210          ,"Micro Scissors 13 Single Action curved Left 5mm"
600212          ,"Micro Scissors 13 Single Action straight 5mm"
600240          ,"Endoloop Applicator, 7"
600249          ,"LAPARO NH 17-3/4 CARB-BITE APPEL HNDL CVD LEFT 5MM"
600250          ,"LAPARO NH 13 CARB-BITE APPEL HNDL CURVED LEFT 5MM"
600251          ,"IN-LINE NEEDLE HOLDER 13 C-BITE CURVED LEFT 5MM"
600252          ,"LAPARO NH 13 CARB-BITE APPEL HNDL CURVED RIGHT 5MM"
600253          ,"IN-LINE NEEDLE HOLDER 13 C-BITE CURVED RIGHT 5MM"
600254          ,"IN-LINE NEEDLE HOLDER 17-3/4 C-BITE CURVED LFT 5MM"
600260          ,"LAPARO NH 13 CARB-BITE APPEL HNDL STRAIGHT 5MM"
600261          ,"IN-LINE NEEDLE HOLDER 13 CARB-BITE STRAIGHT 5MM"
600264          ,"LAPARO NH 13 CARB-BITE APPEL HNDL CURVED LEFT 5MM"
600266          ,"ROMEO SELF-RIGHTING NEEDLE HOLDER 12-3/4 5MM CVD"
600267          ,"ROMEO SELF-RIGHTING NEEDLE HOLDER 17-3/4 5MM CVD"
600268          ,"LYONS NEEDLE FORCEPS 13 IN-LINE HNDL STRAIGHT 5MM"
600269          ,"JULIET RECEIVING FORCEPS 13 CURVED RIGHT 5MM"
600270          ,"JARIT SUTURING SET - MTO"
600271          ,"JULIET RECEIVING FORCEPS 17-3/4 CURVED RIGHT 5MM"
600275          ,"LAPAROSCOPIC NEEDLE HOLDER 13 STRAIGHT 5MM"
600287          ,"APPEL KNOT PUSHER, 16, 5MM DIAMETER"
600289          ,"KNOT PUSHER 13-3/4 4MM"
600291          ,"STORZ DIATHERMY ADAPTOR 1-3/4"
600300          ,"SPATULA TIP SUCTION COAGULATOR 13 MONO INS 5MM"
6003004         ,"T-V SPRING (300), PKG/6"
6003011         ,"Silicone Cap, With Hole, Package Of 12"
6003017         ,"KNURLED SCREW & SPRING FOR GRASPING FORCPES PKG/6"
6003021         ,"TRUMPET VALVE FOR # 600-320 & 600-322 PACKAGE OF 6"
6003024         ,"T-V SPRING (320/2), PKG/6"
6003029         ,"METAL BASE CAP (320/2), PKG/12"
6003033         ,"C-T-V ASSEMBLY (A320/2), PKG/3"
6003036         ,"C-T-V BOTTOM CAP (A320/2), PKG/6"
6003040         ,"VALVE SPRING (440-450), PKG/6"
600305          ,"L-SHAPED HOOK SUCTION COAGULATOR 13 MONO INS 5MM"
600310          ,"HOOK END SUCTION COAGULATOR 13 MONOPOLAR INS 5MM"
600315          ,"BLUNT SUCTION COAGULATOR 13 MONOPOLAR INSULATE 5MM"
600316          ,"BALL ELECTRODE 14-1/2 MONOPOLAR 5MM DIAMETER"
600317          ,"SPATULA ELECTRODE 13 MONOPOLAR INSULATED 5MM"
600317L         ,"SPATULA ELECTRODE 450MM MONOPOLAR INSULATED 5MM"
600318          ,"ELECTRODE 13 L-SHAPED MONOPOLAR 5MM DIAMETER"
600318L         ,"ELECTRODE 17-3/4 L-SHAPED MONOPOLAR 5MM DIAMETER"
600319          ,"HOOK ELECTRODES 13 MONOPOLAR 5MM"
600319L         ,"HOOK ELECTRODE 17-3/4 MONOPOLAR 5MM DIAMETER"
600320          ,"IRR SUCT CANN 13-3/4 DUAL TRMPT VALVE LASER CHAN"
600322          ,"Irrigation Suction Cannula, 11, 5MM"
6003301         ,"IRRIGATION VALVE FOR #´S 600-330 & 630-330"
6003302         ,"SUCTION VALVE FOR #´S 600-330 & 630-330"
6003303         ,"VALVE TOP CAP FOR # 600-330 & 630-330 PACKAGE OF 6"
6003304         ,"VALVE SPRING FOR REF # 600-330, 6/PACKAGE"
6003305         ,"VALVE BOTTOM CAP FOR # 600-330 & 630-330 PACKAGE/6"
6003306         ,"REPLCEMNT CANNULA FOR #'S 600-330/340, 630-330/340"
6003307         ,"REPLCEMNT CANNULA FOR #'S 600-330/340, 630-330/340"
6003309         ,"O-RING FOR #600-330,600-340,630-330,630-340 PKG/6"
600340          ,"IRR/SUCTION CANN 13 COLOR-CODED W/5MM & 10MM CANNS"
6003401         ,"IRRIGATION VALVE FOR #´S 600-340 & 630-340, BLUE"
6003402         ,"SUCTION VALVE FOR #´S 600-340 & 630-340 GREEN"
6003405         ,"VALVE BOTTOM CAP FOR # 600-340 & 630-340 PACKAGE/6"
600340HOUS      ,"MAIN HOUSING FOR # 600-340"
600400          ,"CHOLANGIOGRAM CLAMP 5MM 330MM"
600410          ,"Cholangiogram Guide, 12-1/2"
6004240         ,"INNER SEAL FOR#S 600-423/424/444/452 YELLOW PKG/6"
6004242         ,"O-RING FOR#S 600-423,600-424,600-444,600-452 PKG/6"
6004260         ,"INNER SEAL FOR #´S 600-426 & 600-428 PACKAGE OF 6"
6004262         ,"O-RING (426-428), PKG/6"
600427          ,"PYRAMIDAL TROCAR ONLY FOR AUTO-VALVE, 5.5MM"
600431          ,"PYRAMIDAL TROCAR ONLY, 5.5MM"
6004320         ,"OUT SEAL (426-428-430-462-470), PKG/6"
6004420         ,"OUT SEAL (423/4-440-450/2-471), PKG/6"
600447          ,"PYRAMIDAL TROCAR ONLY FOR AUTO-VALVE, 12.5MM"
6004470         ,"REPLACE SEAL (444-445), PKG/6"
600448          ,"THORACIC CANNULA THREADED 13MM"
6004481         ,"STABILIZING CYLINDER(448), PKG/2"
6004502         ,"NOSE CONE FOR #'S 600-450 & 600-452"
6004503         ,"STOPCOCK CAP FOR ALL TROCARS/CANNULAS PACKAGE OF 6"
600452          ,"Hasson Cannula, 4, Auto-Valve, 11mm, Blunt"
6004520         ,"CONE SEAL FOR # 600-450 & 600-452 GREY PACKAGE/6"
600455          ,"S-RETRACTOR, 7-1/4, SET OF 2"
600460          ,"REDUCER SLEEVE, 7-1/2, 11/10-5.5MM"
600461          ,"SLIDING REDUCR FOR AUTO TRCR SLVS 12.5/11/10-5.5MM"
600465          ,"REDUCER SLEEVE, 7, 5 TO 3MM"
6004670         ,"SEAL FOR REF´S 600-240,460,465, 468, 469 PKG/6"
600468          ,"REDUCER SLEEVE, 7-1/2, FOR 12.5 TO 5.5MM"
6004680         ,"SEAL FOR# 600-240/460/465/468/469 PACKAGE OF 6"
600469          ,"REDUCER SLEEVE, 12.5 TO 10MM"
600480          ,"VERRES NEEDLE, 120MM"
600481          ,"VERRES NEEDLE, 150MM"
600490          ,"PUNCTURE NEEDLE, 13, WITH IRRIGATION, 5MM"
600491          ,"PUNCTURE NEEDLE, 17-3/4, WITH IRRIGATION, 5MM"
600495          ,"PALPATION PROBE GRADUATED 11-3/4, 5MM DIAMETER"
600496          ,"PALPATION PROBE GRADUATED 17-3/4, 5MM DIAMETER"
600500          ,"APPEL DISSECTING HOOK, 16, 10MM DIAMETER"
600520          ,"STONE EXTRACTOR 7-1/2"
600522          ,"LOBE SPLEEN EXTRACTOR 8-3/4"
600540          ,"FAN RETRACTOR 15 5 FINGER 10MM"
600550          ,"P.E.E.R. RETRACTOR 12-1/2 ROTO-LOK 5MM SHAFT"
600560          ,"P.E.E.R. RETRACTOR ROTO-LOK 12-1/2 10MM SHAFT"
600580          ,"HERRON ARTICULATOR BAR RETR ROTO-LOK 5MM 405MM"
600584          ,"ARTICULATR ESOPHAGUS RETR ROTO-LOK 10MM 30MM 410MM"
600585          ,"ARTICULATR ESOPHAGUS RETR ROTO-LOK 10MM 40MM 420MM"
600618          ,"Laparoscopic Instrument Case, 22-3/4x11-1/4x8"
600620          ,"Endoscopic Bariatric Instr Case, 26-3/4x11-1/4x8"
600700          ,"AUTOCLAVABLE SCOPE, 13 W/L, PANO VIEW ,10MM, 0D"
600730          ,"AUTOCLAVABLE SCOPE, 13 W/L, PANO VIEW, 10MM, 30D"
600750          ,"AUTOCLAVABLE SCOPE, 11-3/4 W/L, PANO VIEW, 5MM, 0D"
600780          ,"AUTOCLAVABLE SCOPE, 11-3/4 W/L, PANO VIEW, 5MM,30D"
600CTVA         ,"C-T-V REPLACEMENT PARTS KIT FOR#´S 600-320&600-322"
600SPS550       ,"SPRING & SCREW FOR # 600-550"
600TVA          ,"T-V REPLCEMNT PARTS KIT FOR#'S 600-300/305/310/315"
605152          ,"TENACULUM FORCEPS 13-1/2 SLIDE LOCK INSULATED 5MM"
610100          ,"GRASPING FCPS 12-3/4 SLIDE LOCK INSULATED 5MM"
610104          ,"GRASPING FORCEPS 15 SLIDE LOCK INSULATED 5MM"
610107          ,"FUNDUS GRASPING FCPS 15 R/L SLIDE LK INSULATED 5MM"
610107DA        ,"FUNDUS GRASPING FCPS 15 R/L SLIDE LK INS 5MM"
610108          ,"DUAL-CUP GRSP FCPS 12-3/4 R/L SLIDE LK INS 5MM"
610140          ,"DEBAKEY FCPS 15-1/2 R/L SLIDE LOCK INSULATED 5MM"
610140L         ,"DEBAKEY FCPS D/A S/L ROTO 5MM INS 474MM"
610147          ,"BABCOCK FCPS ROTO S-L 5MM INS 388MM"
610148          ,"SWANSTROM GRASP FCPS ROTO S-L 5MM 376MM"
610149          ,"STRONG BABCOCK GRASPING FCPS ROTO S-L 5MM 379MM"
610163          ,"HUNTER GRASP ROTO S-L 5MM 330MM"
610164          ,"HUNTER GRASP ROTO S-L 5MM 381MM"
610165          ,"HUNTER BOWEL GRASPER 18 R/L SLIDE LK INS 5MM"
610166          ,"HUNTER BOWEL GRASPER 16 R/L SLIDE LOCK INSULATED"
615110          ,"STRONG FORCEPS 12-1/4 MONOPOLAR  INS 5MM SHAFT"
615111          ,"STRONG FORCEPS 17-3/4 MONOPOLAR INS 5MM SHAFT"
615125          ,"GRASP FCP FOR SUTRNG 13-1/4 SPRG HDL 5MM DIAM -MTO"
615150          ,"TENACULUM FORCEPS 14-1/4 WITH RATCHET 10MM"
615152          ,"TENACULUM FCPS 13-3/4 WITH RATCHET INSULATED 5MM"
615160          ,"BIOPSY FORCEPS 13 HANDLE W/SPRING W/TEETH 5MM"
6151603         ,"BIOPSY FORCEPS 14-1/2 DETACH INSERT 5MM PKG/3"
615160E         ,"BIOPSY FCP 13 DET ROTO-LOK MONO INSUL 5mm 1x1teeth"
615160N         ,"BIOPSY FCPS 14-1/2 DETACH INSERT 5MM DIA 1X1 TEETH"
615162          ,"BIOPSY FORCEPS 17-3/4 WITH 2 TEETH 5MM SHAFT"
615164          ,"BIOPSY PUNCHES 13 MONOPOLAR INSULATED 5MM SHAFT"
615166          ,"BIOPSY PUNCH 17-3/4 MONOPOLAR INSULATED 5MM SHAFT"
615168          ,"HOOK BIOPSY PUNCHES 12-1/2 MONO INS 5MM SHAFT"
615169          ,"HOOK BIOPSY PUNCH 17-3/4 MONOPOLAR INS 5MM SHAFT"
615170          ,"BIOPSY PUNCHES 13 W/SINGLE TOOTH MONO INS 5MM"
615172          ,"BIOPSY PUNCH 17-3/4 W/SINGLE TOOTH MONO INS 5MM"
615174          ,"BIOPSY FORCEPS 12-3/4 FENESTR. MONOPOLAR INSUL 5MM"
6151743         ,"BIOPSY FCPS 14-1/2 DETACH INSERT FENESTR 5MM PKG/3"
615174E         ,"BIOPSY FCP 12-3/4 DET ROTO-LOK FENE MONO INSUL 5MM"
615174N         ,"BIOPSY FCPS 14-1/2 DET FENESTRATED INSERT 5MM DIA"
615176          ,"BIOPSY FORCEPS 17-1/2 FENE MONO INS 5MM DIAMETER"
615178          ,"MICRO BIOPSY FORCEPS 13 HANDLE W/SPRING 5MM DIAM"
615210          ,"MYOMA SCREW, 13, 5MM"
615212          ,"MYOMA SCREW, 13, 10MM"
615295          ,"BIPOLAR CABLE 10 FEET"
615296B         ,"BIPOLAR CABLE FOR WOLF GENERATOR 10 FEET"
615330          ,"BIPOLAR FORCEPS 12-3/4 MICRO 5MM DIAMETER INSUL"
615331          ,"BIPOLAR FORCEPS 17-1/4 MICRO 5MM DIAMETER INSUL"
615334          ,"BIPOLAR FORCEPS 12-3/4 LARGE 5MM DIAMETER INSUL"
615335          ,"BIPOLAR FORCEPS 17-1/4 LARGE 5MM DIAMETER INSUL"
615338          ,"BIPOLAR FORCEPS 12-3/4 GRASPING 5MM DIAMETER INSUL"
615339          ,"BIPOLAR FORCEPS 17-1/4 GRASPING 5MM DIAMETER INSUL"
615700          ,"AUTOCLAV SCOPE, 10-3/4 W/L,PAN VIEW, W/CH,10MM, 0D"
620800          ,"Laparoscopic Instrument Holder, Complete Set"
620805          ,"Bariatric Instrument Holder, Complete Set"
620EC800        ,"End Cap For Column For REF#'s 620-800 & 620-805"
6250903         ,"CLEANING BRUSH F/DETACH INST PKG/6"
625090H         ,"HANDLE/SHAFT 12 DETACH ROTO-LOK MONO INSULATED 5MM"
625100          ,"GRASPING FORCEPS 13-1/4 ROTO-LOK INSULATED 5MM"
625100LL        ,"GRASPING FCPS 13-1/4 R-LOK LOCKING LEVER INSUL 5MM"
625101          ,"STRONG TC GRASP FCPS 12-3/4 R-LOK W/RAT INSUL 5MM"
625102          ,"TC GRASP FORCEP W/RAT ROTO-LOK 5MM INSULATED 343MM"
625102LL        ,"TC GRASP FCP ROTO-LK LOCKING LEVER 5MM INSUL 343MM"
625103          ,"STRONG TC GRASP FCP ROTO-LOK W/RAT 5MM INSUL 377MM"
625103LL        ,"STRONG TC GRASP FCP R-L LOCK/LEVER 5MM INSUL 377MM"
625104          ,"GRABBER FCPS W/RATCHT ROTO-LOK 5MM INSULATED 382MM"
625104LL        ,"GRABBER FCPS ROTO-LK LOCKING LEVER 5MM INSUL 382MM"
625105          ,"GRASPING FORCEPS 13-1/2 D/A ROTO 5MM INS MONOPOLAR"
625106LL        ,"GRABBER FCPS ROTO-LK LOCKING LEVER 5MM INSUL 462MM"
625107          ,"FUNDUS GRASP FORCEP W/RAT ROTO-LOK 5MM INSUL 383MM"
625107D5        ,"FUNDUS GRASP FCP D/A ROTO LK/LEVER 5MM INSUL 464MM"
625107DA        ,"FUNDUS GRASP FCP D/A ROTO LK/LEVER 5MM INSUL 384MM"
625107LL        ,"FUNDUS GRASP FCP ROTO-LOK LK/LEVER 5MM INSUL 383MM"
625107RD        ,"FUNDUS GRASP FCP D/A ROTO-LK W/RAT 5MM INSUL 384MM"
625108          ,"DUAL-CUP GRASP FCPS W/RAT ROTO-LOK 5MM INSUL 338MM"
625108LL        ,"DUAL-CUP GRASP FCPS R-LOK LK/LEVER 5MM INSUL 338MM"
625109          ,"RETRACT GRASP FCPS W/RAT ROTO-LOK 5MM INSUL 383MM"
625109DA        ,"RETR GRASP FCP D/A ROTO LOCK/LEVER 5MM INSUL 386MM"
625109LL        ,"RETR GRASP FCP ROTO-LOK LOCK/LEVER 5MM INSUL 383MM"
625109RD        ,"RETRACT GRASP FCP 15-1/4 D/A R-LOK W/RAT INSUL 5MM"
625110          ,"MICRO DISSECTING FORCEPS 13-1/4 ROTO MONO INS 5MM"
625112          ,"NEEDLE NOSE FORCEPS 13-1/2 ROTO-CAM MONO INS 5MM"
625113          ,"ATRAUMATIC ALLIS GRASP FCPS 13 R/L W/RAT INSUL 5MM"
625113LL        ,"ATRAUMATIC ALLIS GRASP FCPS 13 R/L L/LEV INSUL 5MM"
625114          ,"ATRAU LONG JAW ALLIS GRSP FCP 15 R/L W/RAT INS 5MM"
625114LL        ,"ATRAU LONG JAW ALLIS GRSP FCP 15 R/L L/LEV INS 5MM"
625115          ,"TAPERED DISSECTING FORCEPS 13-1/2 R-C MONO INS 5MM"
625117          ,"BULLET-NOSE FORCEPS 13-1/2 ROTO-CAM MONO INS 5MM"
625118          ,"DUCKBILL GRASPING FORCEPS 13-3/4 ROTO-CAM INS 5MM"
625122          ,"ALLIS GRASP FCPS 13-1/4 ROTO-LOK W/RATCH INSUL 5MM"
625124          ,"MARYLAND DISSECTOR 13-1/2 ROTO-CAM MONO INS 5MM"
625125          ,"MARYLAND DISSECTOR 13-1/4 ROTO-CAM MONO INS 10MM"
625126          ,"MARYLAND DISSECTOR 13-3/4 ROTO-CAM MONO INS 5MM"
625127          ,"MARYLAND DISSECTOR 17-3/4 ROTO-CAM MONO INS 5MM"
625128          ,"MIX SPDR-DISS 12-1/2 R-C KERR HNDL MONO INSUL 10MM"
625128RH        ,"MIX SPDR-DISS 12-1/2 R-C RING HNDL MONO INSUL 10MM"
625129          ,"MIX SPDR-DISS 12-1/2 R-C KERR HNDL MONO INSUL 5MM"
625129RH        ,"MIX SPDR-DISS 12-1/2 R-C RING HNDL MONO INSUL 5MM"
625130RH        ,"MIX SPDR-DISS 18-1/4 R-C RING HNDL MONO INSUL 5MM"
625132          ,"RT ANGLE DISSECTOR 14-1/4 ROTO-CAM MONO INS 10MM"
625139          ,"DJB GRASPING FCPS 15 ROTO-LOK W/RAT INSULATED 5MM"
625139LL        ,"DJB GRASPING FCPS 15 ROTO-LOK LOCK/LEVER INSUL 5MM"
625140LL        ,"DEBAKEY FORCEP ROTO-LOK LOCK/LEVER 5MM INSUL 480MM"
625141          ,"DEBAKEY FORCEPS ROTO-LOK CURVED 10MM 373MM"
625142          ,"PADDLE BABCOCK FORCEPS ROTO-LOK 10MM 370MM"
